id_venta,fecha,region,categoria,producto,vendedor,segmento_cliente,unidades,precio_unitario,descuento_pct,ingreso,costo,utilidad
35,2023-01-03,Centro,Oficina,Silla Ergonomica,Diego Rojas,Individual,4,97050.0,0.1,349380.0,232920.0,116460.0
36,2023-01-03,Centro,Deportes,Bototas Trekking,Hugo Reyes,Individual,1,49160.0,0.0,49160.0,29496.0,19664.0
37,2023-01-03,Norte,Ropa,Camiseta,Felipe Soto,Pyme,3,7890.0,0.05,22486.0,14202.0,8284.0
38,2023-01-03,Sur,Electronica,Cargador,Gabriela Nunez,Pyme,5,9290.0,0.15,39482.0,27870.0,11612.0
39,2023-01-03,Oeste,Electronica,Mouse,Javier Castro,Individual,5,7250.0,0.2,29000.0,21750.0,7250.0
40,2023-01-03,Centro,Electronica,Mouse,Carla Diaz,Individual,5,6480.0,0.2,25920.0,19440.0,6480.0
41,2023-01-03,Oeste,Deportes,Bicicleta,Elena Vidal,Pyme,4,139140.0,0.0,556560.0,333936.0,222624.0
42,2023-01-03,Sur,Deportes,Colchoneta Yoga,Ana Torres,Individual,4,9780.0,0.15,33252.0,23472.0,9780.0
43,2023-01-03,Norte,Deportes,Bicicleta,Gabriela Nunez,Individual,1,146100.0,0.1,131490.0,87660.0,43830.0
44,2023-01-03,Sur,Oficina,Cuaderno,Carla Diaz,Pyme,7,2020.0,0.0,14140.0,8484.0,5656.0
45,2023-01-03,Norte,Hogar,Lampara LED,Ana Torres,Corporativo,3,10190.0,0.0,30570.0,18342.0,12228.0
46,2023-01-03,Este,Ropa,Camiseta,Bruno Silva,Individual,3,8040.0,0.0,24120.0,14472.0,9648.0
47,2023-01-03,Centro,Hogar,Cafetera,Gabriela Nunez,Pyme,3,29110.0,0.05,82964.0,52398.0,30566.0
48,2023-01-03,Centro,Electronica,Audifonos,Bruno Silva,Individual,3,17670.0,0.2,42408.0,31806.0,10602.0
49,2023-01-03,Oeste,Ropa,Camiseta,Bruno Silva,Individual,3,7750.0,0.0,23250.0,13950.0,9300.0
50,2023-01-03,Sur,Hogar,Cafetera,Gabriela Nunez,Corporativo,7,30630.0,0.0,214410.0,128646.0,85764.0
51,2023-01-03,Norte,Hogar,Aspiradora,Bruno Silva,Corporativo,6,77230.0,0.15,393873.0,278028.0,115845.0
52,2023-01-03,Sur,Hogar,Set de Ollas,Elena Vidal,Individual,4,39250.0,0.0,157000.0,94200.0,62800.0
53,2023-01-03,Norte,Electronica,Parlante Bluetooth,Diego Rojas,Corporativo,7,26910.0,0.15,160114.0,113022.0,47092.0
54,2023-01-03,Norte,Electronica,Parlante Bluetooth,Elena Vidal,Individual,3,23960.0,0.15,61098.0,43128.0,17970.0
55,2023-01-03,Centro,Hogar,Lampara LED,Bruno Silva,Corporativo,7,9970.0,0.1,62811.0,41874.0,20937.0
56,2023-01-04,Este,Deportes,Mancuernas,Felipe Soto,Pyme,1,19920.0,0.1,17928.0,11952.0,5976.0
57,2023-01-04,Oeste,Deportes,Mancuernas,Bruno Silva,Pyme,6,17840.0,0.05,101688.0,64224.0,37464.0
58,2023-01-04,Sur,Ropa,Pantalon,Ana Torres,Individual,1,16380.0,0.0,16380.0,9828.0,6552.0
59,2023-01-04,Este,Ropa,Gorra,Bruno Silva,Individual,2,5870.0,0.1,10566.0,7044.0,3522.0
60,2023-01-04,Norte,Ropa,Camiseta,Bruno Silva,Pyme,7,7910.0,0.05,52602.0,33222.0,19380.0
61,2023-01-04,Oeste,Hogar,Lampara LED,Javier Castro,Pyme,5,9690.0,0.15,41182.0,29070.0,12112.0
62,2023-01-04,Centro,Deportes,Balon Futbol,Isidora Munoz,Individual,4,12690.0,0.05,48222.0,30456.0,17766.0
63,2023-01-04,Centro,Deportes,Bototas Trekking,Ana Torres,Individual,2,49810.0,0.1,89658.0,59772.0,29886.0
64,2023-01-04,Norte,Deportes,Colchoneta Yoga,Diego Rojas,Individual,5,9470.0,0.0,47350.0,28410.0,18940.0
65,2023-01-04,Este,Hogar,Set de Ollas,Gabriela Nunez,Pyme,3,37910.0,0.2,90984.0,68238.0,22746.0
66,2023-01-04,Este,Ropa,Pantalon,Javier Castro,Individual,3,16090.0,0.05,45856.0,28962.0,16894.0
67,2023-01-04,Sur,Ropa,Zapatillas,Gabriela Nunez,Pyme,6,44030.0,0.2,211344.0,158508.0,52836.0
68,2023-01-04,Oeste,Oficina,Impresora,Bruno Silva,Corporativo,3,67490.0,0.0,202470.0,121482.0,80988.0
69,2023-01-04,Centro,Ropa,Pantalon,Bruno Silva,Individual,1,15990.0,0.15,13592.0,9594.0,3998.0
70,2023-01-04,Centro,Electronica,Parlante Bluetooth,Hugo Reyes,Corporativo,6,24470.0,0.2,117456.0,88092.0,29364.0
71,2023-01-04,Norte,Electronica,Teclado,Isidora Munoz,Individual,1,12590.0,0.0,12590.0,7554.0,5036.0
72,2023-01-04,Sur,Deportes,Mancuernas,Javier Castro,Individual,1,19590.0,0.15,16652.0,11754.0,4898.0
73,2023-01-04,Oeste,Hogar,Aspiradora,Diego Rojas,Individual,2,77330.0,0.05,146927.0,92796.0,54131.0
74,2023-01-05,Centro,Ropa,Pantalon,Ana Torres,Individual,4,17090.0,0.2,54688.0,41016.0,13672.0
75,2023-01-05,Norte,Hogar,Aspiradora,Isidora Munoz,Corporativo,1,68970.0,0.2,55176.0,41382.0,13794.0
76,2023-01-05,Este,Electronica,Parlante Bluetooth,Ana Torres,Individual,4,22790.0,0.2,72928.0,54696.0,18232.0
77,2023-01-05,Oeste,Hogar,Cafetera,Diego Rojas,Individual,5,30390.0,0.0,151950.0,91170.0,60780.0
78,2023-01-05,Centro,Ropa,Gorra,Bruno Silva,Corporativo,5,5630.0,0.2,22520.0,16890.0,5630.0
79,2023-01-05,Oeste,Ropa,Camiseta,Elena Vidal,Individual,4,8170.0,0.2,26144.0,19608.0,6536.0
80,2023-01-05,Centro,Deportes,Balon Futbol,Felipe Soto,Individual,3,12610.0,0.05,35938.0,22698.0,13240.0
81,2023-01-05,Este,Oficina,Cuaderno,Gabriela Nunez,Pyme,5,2180.0,0.0,10900.0,6540.0,4360.0
82,2023-01-05,Centro,Hogar,Aspiradora,Carla Diaz,Pyme,1,79170.0,0.15,67294.0,47502.0,19792.0
83,2023-01-05,Sur,Deportes,Colchoneta Yoga,Javier Castro,Individual,7,9990.0,0.0,69930.0,41958.0,27972.0
84,2023-01-05,Oeste,Oficina,Silla Ergonomica,Gabriela Nunez,Individual,5,91050.0,0.05,432488.0,273150.0,159338.0
85,2023-01-05,Centro,Ropa,Camiseta,Isidora Munoz,Individual,5,8160.0,0.15,34680.0,24480.0,10200.0
86,2023-01-05,Centro,Hogar,Aspiradora,Gabriela Nunez,Individual,5,78610.0,0.0,393050.0,235830.0,157220.0
87,2023-01-05,Oeste,Deportes,Balon Futbol,Felipe Soto,Individual,6,13320.0,0.0,79920.0,47952.0,31968.0
88,2023-01-05,Oeste,Ropa,Gorra,Elena Vidal,Individual,5,5920.0,0.15,25160.0,17760.0,7400.0
89,2023-01-06,Centro,Deportes,Bototas Trekking,Isidora Munoz,Individual,2,56270.0,0.0,112540.0,67524.0,45016.0
90,2023-01-06,Este,Hogar,Cafetera,Elena Vidal,Individual,7,30980.0,0.0,216860.0,130116.0,86744.0
91,2023-01-06,Norte,Electronica,Teclado,Javier Castro,Individual,4,13240.0,0.0,52960.0,31776.0,21184.0
92,2023-01-06,Centro,Electronica,Cargador,Hugo Reyes,Corporativo,1,8840.0,0.0,8840.0,5304.0,3536.0
93,2023-01-06,Norte,Ropa,Pantalon,Felipe Soto,Pyme,4,16470.0,0.1,59292.0,39528.0,19764.0
94,2023-01-06,Sur,Hogar,Ventilador,Ana Torres,Pyme,2,18510.0,0.0,37020.0,22212.0,14808.0
95,2023-01-06,Este,Oficina,Impresora,Javier Castro,Pyme,4,71740.0,0.2,229568.0,172176.0,57392.0
96,2023-01-06,Este,Electronica,Cargador,Gabriela Nunez,Corporativo,2,8410.0,0.05,15979.0,10092.0,5887.0
97,2023-01-06,Este,Ropa,Camiseta,Bruno Silva,Pyme,1,8390.0,0.15,7132.0,5034.0,2098.0
98,2023-01-06,Oeste,Oficina,Cuaderno,Diego Rojas,Individual,3,1910.0,0.15,4870.0,3438.0,1432.0
99,2023-01-06,Este,Electronica,Teclado,Elena Vidal,Pyme,3,12710.0,0.0,38130.0,22878.0,15252.0
100,2023-01-06,Centro,Oficina,Resma de Papel,Javier Castro,Corporativo,2,3700.0,0.0,7400.0,4440.0,2960.0
101,2023-01-06,Norte,Ropa,Pantalon,Gabriela Nunez,Pyme,5,14220.0,0.1,63990.0,42660.0,21330.0
102,2023-01-06,Sur,Deportes,Balon Futbol,Carla Diaz,Corporativo,7,12140.0,0.2,67984.0,50988.0,16996.0
103,2023-01-06,Centro,Electronica,Mouse,Ana Torres,Corporativo,3,6950.0,0.05,19808.0,12510.0,7298.0
104,2023-01-06,Este,Deportes,Mancuernas,Diego Rojas,Individual,7,18580.0,0.15,110551.0,78036.0,32515.0
105,2023-01-07,Sur,Deportes,Colchoneta Yoga,Gabriela Nunez,Individual,4,9490.0,0.15,32266.0,22776.0,9490.0
106,2023-01-07,Sur,Ropa,Camiseta,Elena Vidal,Pyme,6,8190.0,0.0,49140.0,29484.0,19656.0
107,2023-01-07,Sur,Electronica,Audifonos,Felipe Soto,Pyme,4,16470.0,0.05,62586.0,39528.0,23058.0
108,2023-01-07,Oeste,Oficina,Silla Ergonomica,Javier Castro,Pyme,1,82560.0,0.05,78432.0,49536.0,28896.0
109,2023-01-07,Este,Hogar,Cafetera,Ana Torres,Corporativo,5,31970.0,0.0,159850.0,95910.0,63940.0
110,2023-01-07,Sur,Oficina,Resma de Papel,Hugo Reyes,Individual,2,3710.0,0.05,7049.0,4452.0,2597.0
111,2023-01-07,Centro,Oficina,Resma de Papel,Bruno Silva,Pyme,4,3900.0,0.1,14040.0,9360.0,4680.0
112,2023-01-07,Oeste,Electronica,Mouse,Bruno Silva,Pyme,6,7020.0,0.0,42120.0,25272.0,16848.0
113,2023-01-07,Norte,Electronica,Cargador,Elena Vidal,,4,8960.0,0.2,28672.0,21504.0,7168.0
114,2023-01-07,Oeste,Deportes,Colchoneta Yoga,Ana Torres,,4,9510.0,0.0,38040.0,22824.0,15216.0
115,2023-01-07,Centro,Hogar,Ventilador,Diego Rojas,Individual,3,20310.0,0.2,48744.0,36558.0,12186.0
116,2023-01-07,Norte,Oficina,Resma de Papel,Felipe Soto,Individual,4,3820.0,0.0,15280.0,9168.0,6112.0
117,2023-01-07,Norte,Hogar,Lampara LED,Hugo Reyes,Corporativo,4,9240.0,0.1,33264.0,22176.0,11088.0
118,2023-01-07,Sur,Deportes,Bototas Trekking,Diego Rojas,Individual,3,53520.0,0.0,160560.0,96336.0,64224.0
119,2023-01-07,Centro,Electronica,Teclado,Diego Rojas,Individual,2,12620.0,0.0,25240.0,15144.0,10096.0
120,2023-01-08,Este,Deportes,Balon Futbol,Felipe Soto,Corporativo,2,12960.0,0.0,25920.0,15552.0,10368.0
121,2023-01-08,Oeste,Hogar,Cafetera,Javier Castro,Pyme,6,28080.0,0.1,151632.0,101088.0,50544.0
122,2023-01-08,Norte,Oficina,Escritorio,Javier Castro,Individual,2,93950.0,0.0,187900.0,112740.0,75160.0
123,2023-01-08,Oeste,Ropa,Chaqueta,Isidora Munoz,Individual,5,35340.0,0.0,176700.0,106020.0,70680.0
124,2023-01-08,Sur,Electronica,Teclado,Felipe Soto,Individual,6,14170.0,0.15,72267.0,51012.0,21255.0
125,2023-01-08,Sur,Electronica,Mouse,Javier Castro,Pyme,2,7340.0,0.15,12478.0,8808.0,3670.0
126,2023-01-08,Este,Deportes,Bicicleta,Hugo Reyes,Pyme,6,142880.0,0.05,814416.0,514368.0,300048.0
127,2023-01-08,Norte,Deportes,Balon Futbol,Ana Torres,Individual,3,13380.0,0.15,34119.0,24084.0,10035.0
128,2023-01-08,Centro,Ropa,Camiseta,Javier Castro,Pyme,3,8720.0,0.15,22236.0,15696.0,6540.0
129,2023-01-08,Este,Ropa,Camiseta,Hugo Reyes,Individual,3,8240.0,0.1,22248.0,14832.0,7416.0
130,2023-01-08,Oeste,Hogar,Lampara LED,Javier Castro,Individual,5,10250.0,0.0,51250.0,30750.0,20500.0
131,2023-01-08,Norte,Ropa,Zapatillas,Javier Castro,Corporativo,2,44290.0,0.1,79722.0,53148.0,26574.0
132,2023-01-08,Centro,Deportes,Bicicleta,Hugo Reyes,Pyme,4,153740.0,0.2,491968.0,368976.0,122992.0
133,2023-01-09,Este,Electronica,Cargador,Carla Diaz,Pyme,2,8830.0,0.0,17660.0,10596.0,7064.0
134,2023-01-09,Sur,Ropa,Camiseta,Hugo Reyes,Corporativo,2,8010.0,0.15,13617.0,9612.0,4005.0
135,2023-01-09,Norte,Oficina,Silla Ergonomica,Carla Diaz,Individual,1,81310.0,0.15,69114.0,48786.0,20328.0
136,2023-01-09,Este,Oficina,Cuaderno,Ana Torres,Individual,1,1900.0,0.0,1900.0,1140.0,760.0
137,2023-01-09,Este,Ropa,Camiseta,Bruno Silva,Individual,4,8240.0,0.05,31312.0,19776.0,11536.0
138,2023-01-09,Sur,Electronica,Teclado,Bruno Silva,Individual,4,12800.0,0.15,43520.0,30720.0,12800.0
139,2023-01-09,Sur,Oficina,Silla Ergonomica,Gabriela Nunez,Pyme,7,92230.0,0.15,548768.0,387366.0,161402.0
140,2023-01-09,Oeste,Deportes,Colchoneta Yoga,Isidora Munoz,Individual,2,9850.0,0.15,16745.0,11820.0,4925.0
141,2023-01-09,Sur,Deportes,Colchoneta Yoga,Isidora Munoz,Individual,4,10710.0,0.0,42840.0,25704.0,17136.0
142,2023-01-09,Oeste,Hogar,Set de Ollas,Javier Castro,Individual,3,35130.0,0.15,89582.0,63234.0,26348.0
143,2023-01-09,Este,Hogar,Lampara LED,Javier Castro,Individual,6,10100.0,0.15,51510.0,36360.0,15150.0
144,2023-01-09,Este,Deportes,Mancuernas,Hugo Reyes,Individual,5,19340.0,0.2,77360.0,58020.0,19340.0
145,2023-01-10,Sur,Ropa,Zapatillas,Hugo Reyes,Pyme,5,48000.0,0.0,240000.0,144000.0,96000.0
146,2023-01-10,Este,Oficina,Cuaderno,Bruno Silva,Corporativo,5,1860.0,0.2,7440.0,5580.0,1860.0
147,2023-01-10,Este,Deportes,Colchoneta Yoga,Hugo Reyes,Pyme,4,10550.0,0.0,42200.0,25320.0,16880.0
148,2023-01-10,Norte,Oficina,Impresora,Isidora Munoz,Individual,7,67680.0,0.2,379008.0,284256.0,94752.0
149,2023-01-10,Este,Deportes,Bicicleta,Javier Castro,Individual,4,150070.0,0.05,570266.0,360168.0,210098.0
150,2023-01-10,Este,Hogar,Aspiradora,Carla Diaz,Individual,2,80110.0,0.1,144198.0,96132.0,48066.0
151,2023-01-10,Sur,Hogar,Ventilador,Elena Vidal,Individual,2,20680.0,0.0,41360.0,24816.0,16544.0
152,2023-01-10,Norte,Oficina,Resma de Papel,Diego Rojas,Corporativo,6,3780.0,0.05,21546.0,13608.0,7938.0
153,2023-01-10,Sur,Hogar,Aspiradora,Javier Castro,Pyme,2,85420.0,0.2,136672.0,102504.0,34168.0
154,2023-01-10,Sur,Oficina,Silla Ergonomica,Ana Torres,Corporativo,6,88870.0,0.05,506559.0,319932.0,186627.0
155,2023-01-10,Oeste,Hogar,Aspiradora,Bruno Silva,Individual,4,82000.0,0.15,278800.0,196800.0,82000.0
156,2023-01-10,Sur,Oficina,Escritorio,Javier Castro,Individual,2,97300.0,0.05,184870.0,116760.0,68110.0
157,2023-01-10,Este,Oficina,Impresora,Hugo Reyes,Pyme,1,67180.0,0.0,67180.0,40308.0,26872.0
158,2023-01-11,Sur,Oficina,Escritorio,Diego Rojas,Individual,4,106750.0,0.2,341600.0,256200.0,85400.0
159,2023-01-11,Este,Hogar,Aspiradora,Diego Rojas,Corporativo,7,77950.0,0.0,545650.0,327390.0,218260.0
160,2023-01-11,Sur,Deportes,Colchoneta Yoga,Isidora Munoz,Individual,6,9670.0,0.15,49317.0,34812.0,14505.0
161,2023-01-11,Norte,Electronica,Cargador,Bruno Silva,Individual,2,9620.0,0.0,19240.0,11544.0,7696.0
162,2023-01-11,Oeste,Oficina,Resma de Papel,Isidora Munoz,Individual,7,4100.0,0.1,25830.0,17220.0,8610.0
163,2023-01-11,Centro,Hogar,Set de Ollas,Felipe Soto,Individual,4,40710.0,0.15,138414.0,97704.0,40710.0
164,2023-01-11,Centro,Deportes,Colchoneta Yoga,Isidora Munoz,Individual,1,9980.0,0.15,8483.0,5988.0,2495.0
165,2023-01-11,Norte,Electronica,Teclado,Isidora Munoz,Individual,7,12180.0,0.15,72471.0,51156.0,21315.0
166,2023-01-11,Norte,Hogar,Aspiradora,Gabriela Nunez,Individual,4,80860.0,0.15,274924.0,194064.0,80860.0
167,2023-01-11,Norte,Ropa,Pantalon,Hugo Reyes,Pyme,6,16390.0,0.05,93423.0,59004.0,34419.0
168,2023-01-11,Centro,Oficina,Impresora,Bruno Silva,Corporativo,2,64820.0,0.0,129640.0,77784.0,51856.0
169,2023-01-11,Oeste,Hogar,Cafetera,Ana Torres,Corporativo,5,31530.0,0.15,134002.0,94590.0,39412.0
170,2023-01-11,Este,Oficina,Impresora,Ana Torres,Pyme,6,73650.0,0.05,419805.0,265140.0,154665.0
171,2023-01-11,Sur,Oficina,Silla Ergonomica,Carla Diaz,Pyme,2,85190.0,0.2,136304.0,102228.0,34076.0
172,2023-01-11,Oeste,Deportes,Bicicleta,Hugo Reyes,Individual,2,157520.0,0.0,315040.0,189024.0,126016.0
173,2023-01-11,Centro,Hogar,Lampara LED,Gabriela Nunez,Individual,1,10510.0,0.2,8408.0,6306.0,2102.0
174,2023-01-12,Sur,Deportes,Mancuernas,Gabriela Nunez,Individual,7,17770.0,0.15,105732.0,74634.0,31098.0
175,2023-01-12,Sur,Ropa,Chaqueta,Javier Castro,Pyme,3,36620.0,0.1,98874.0,65916.0,32958.0
176,2023-01-12,Norte,Electronica,Teclado,Isidora Munoz,Corporativo,7,13190.0,0.0,92330.0,55398.0,36932.0
177,2023-01-12,Norte,Hogar,Ventilador,Elena Vidal,Corporativo,2,20240.0,0.0,40480.0,24288.0,16192.0
178,2023-01-12,Centro,Hogar,Cafetera,Bruno Silva,Corporativo,4,28130.0,0.2,90016.0,67512.0,22504.0
179,2023-01-12,Centro,Hogar,Cafetera,Javier Castro,Pyme,2,31900.0,0.15,54230.0,38280.0,15950.0
180,2023-01-12,Sur,Hogar,Cafetera,Diego Rojas,Individual,5,29920.0,0.0,149600.0,89760.0,59840.0
181,2023-01-12,Este,Deportes,Balon Futbol,Carla Diaz,Pyme,5,13480.0,0.05,64030.0,40440.0,23590.0
182,2023-01-12,Centro,Ropa,Chaqueta,Isidora Munoz,,1,32570.0,0.15,27684.0,19542.0,8142.0
183,2023-01-12,Sur,Deportes,Mancuernas,Felipe Soto,Individual,6,18320.0,0.15,93432.0,65952.0,27480.0
184,2023-01-12,Oeste,Hogar,Aspiradora,Elena Vidal,Corporativo,5,79540.0,0.0,397700.0,238620.0,159080.0
185,2023-01-12,Sur,Ropa,Camiseta,Gabriela Nunez,Pyme,3,8280.0,0.1,22356.0,14904.0,7452.0
186,2023-01-12,Este,Hogar,Set de Ollas,Gabriela Nunez,Pyme,3,38890.0,0.1,105003.0,70002.0,35001.0
187,2023-01-12,Norte,Ropa,Zapatillas,Javier Castro,Individual,4,41190.0,0.0,164760.0,98856.0,65904.0
188,2023-01-13,Sur,Hogar,Ventilador,Javier Castro,Individual,5,21610.0,0.15,91842.0,64830.0,27012.0
189,2023-01-13,Sur,Oficina,Silla Ergonomica,Carla Diaz,Individual,3,90870.0,0.1,245349.0,163566.0,81783.0
190,2023-01-13,Norte,Deportes,Balon Futbol,Carla Diaz,Pyme,7,12820.0,0.05,85253.0,53844.0,31409.0
191,2023-01-13,Sur,Electronica,Cargador,Ana Torres,Individual,4,8810.0,0.0,35240.0,21144.0,14096.0
192,2023-01-13,Sur,Deportes,Bicicleta,Carla Diaz,Individual,5,137770.0,0.05,654408.0,413310.0,241098.0
193,2023-01-13,Sur,Electronica,Mouse,Bruno Silva,Pyme,2,7080.0,0.0,14160.0,8496.0,5664.0
194,2023-01-13,Norte,Electronica,Audifonos,Isidora Munoz,Individual,7,15120.0,0.2,84672.0,63504.0,21168.0
195,2023-01-13,Este,Deportes,Balon Futbol,Elena Vidal,Pyme,7,13880.0,0.2,77728.0,58296.0,19432.0
196,2023-01-13,Sur,Hogar,Aspiradora,Ana Torres,Individual,4,81780.0,0.2,261696.0,196272.0,65424.0
197,2023-01-13,Centro,Hogar,Lampara LED,Javier Castro,Individual,7,10160.0,0.05,67564.0,42672.0,24892.0
198,2023-01-13,Este,Electronica,Audifonos,Elena Vidal,Individual,5,16320.0,0.15,69360.0,48960.0,20400.0
199,2023-01-13,Este,Electronica,Parlante Bluetooth,Hugo Reyes,Individual,4,23260.0,0.0,93040.0,55824.0,37216.0
200,2023-01-13,Sur,Deportes,Colchoneta Yoga,Diego Rojas,Pyme,6,9650.0,0.2,46320.0,34740.0,11580.0
201,2023-01-13,Sur,Oficina,Escritorio,Ana Torres,Pyme,1,100630.0,0.2,80504.0,60378.0,20126.0
202,2023-01-14,Norte,Electronica,Teclado,Carla Diaz,Pyme,2,12580.0,0.05,23902.0,15096.0,8806.0
203,2023-01-14,Este,Hogar,Cafetera,Isidora Munoz,Individual,1,28980.0,0.15,24633.0,17388.0,7245.0
204,2023-01-14,Oeste,Ropa,Camiseta,Javier Castro,Pyme,4,8000.0,0.05,30400.0,19200.0,11200.0
205,2023-01-14,Centro,Oficina,Silla Ergonomica,Hugo Reyes,Pyme,1,90440.0,0.0,90440.0,54264.0,36176.0
206,2023-01-14,Este,Oficina,Escritorio,Felipe Soto,Pyme,7,104560.0,0.2,585536.0,439152.0,146384.0
207,2023-01-14,Sur,Oficina,Cuaderno,Hugo Reyes,Corporativo,2,1970.0,0.15,3349.0,2364.0,985.0
208,2023-01-14,Oeste,Oficina,Escritorio,Bruno Silva,Individual,4,101780.0,0.0,407120.0,244272.0,162848.0
209,2023-01-14,Centro,Hogar,Set de Ollas,Diego Rojas,Individual,5,39400.0,0.2,157600.0,118200.0,39400.0
210,2023-01-14,Oeste,Electronica,Mouse,Elena Vidal,Individual,6,7210.0,0.0,43260.0,25956.0,17304.0
211,2023-01-14,Sur,Ropa,Gorra,Ana Torres,,7,5980.0,0.2,33488.0,25116.0,8372.0
212,2023-01-14,Centro,Oficina,Escritorio,Felipe Soto,Pyme,4,104090.0,0.05,395542.0,249816.0,145726.0
213,2023-01-14,Norte,Oficina,Cuaderno,Isidora Munoz,Corporativo,7,2050.0,0.2,11480.0,8610.0,2870.0
214,2023-01-14,Norte,Hogar,Ventilador,Hugo Reyes,Corporativo,2,18310.0,0.15,31127.0,21972.0,9155.0
215,2023-01-14,Este,Ropa,Chaqueta,Isidora Munoz,Individual,6,38100.0,0.2,182880.0,137160.0,45720.0
216,2023-01-14,Norte,Oficina,Resma de Papel,Bruno Silva,Individual,5,3810.0,0.0,19050.0,11430.0,7620.0
217,2023-01-15,Oeste,Ropa,Gorra,Felipe Soto,Individual,5,5640.0,0.1,25380.0,16920.0,8460.0
